Municipios,Nome do Conflito,Familias,Area
Sidrolandia,Acamp. Perto da Rede Ferroviaria do Brasil,130,15
Subtotal:,26,2755,19955
Acucena/ Belo Horizonte/ Carmésia,T. |. Patax6/Projeto Minas-Rio/Anglo American,150,
Anténio Carlos,Faz. da Serra/Acamp. Gabriel Pimenta,,4000
Anténio Carlos,Faz. Capao da Onga/Acamp. Gabriel Pimenta,,290
Bocaitiva/ Engenheiro Navarro,Faz. Santo Eloy/Garrote,,1400
Buritizeiro,Com. Vazanteira do Cérrego Canabrava/Faz. Canabrava,,5052
Campo do Meio,Faz. Ariadndpolis/Assent. Quilombo Campo Grande,,6000
Capitao Enéas,Faz. Norte América/Acamp. Alvimar Ribeiro,,
Conceigao do Mato Dentro,Com. Sebastiao do Bom Sucesso - Sapo/Proj. Minas-Rio/Anglo American,,
Conceigao do Mato Dentro,Com. Cabeceira do Turco/Projeto Minas-Rio/Anglo American,,
Conceigao do Mato Dentro,Com. do Turco/Projeto Minas-Rio/Anglo American,,
Conceigao do Mato Dentro,Familia Pimenta/Proj. Minas-Rio/Anglo American,,
Coronel Pacheco,Faz. Sao José/Liberdade/Acamp. Gabriel Pimenta/Reunidas,,2700
Francisco Sa,Faz. Redengao/Acamp. Alvimar Ribeiro,,
Grao Mogol,Cancelas Faz. Rio Rancho/Buriti Pequeno/Com. Geraizeiros do Vale das,,6434
Ibiai,Com. Extrativista Barra do Pacui e Pescadores Artesanais as,,
Igarapé,Faz. da Empresa MMX de Eike Batista,,
Itacarambi,Com. Vazanteira Barrinha/Rio Sao Francisco,,
Januaria,Com. Quil. Croata/Rio Sao Francisco,,541
Jequitai,Com. Barrocao Pau de Fruta/Buritis de Baixo,,
Manga/ Matias Cardoso,Com. da Ilha de Pau Preto/Rio Sao Francisco/Proj. Jaiba,,
Montes Claros,Fazenda Bom Jesus,,200
Nova Serrana,Faz. Canta Galo/Acamp. Nova Jerusalém,,
Padre Carvalho,Territ. Geraizeiro Curral de Varas II/Rio Rancho Agrop. S/A,,
Pedras Presidente de Maria Olegario da Cruz,Area Com. no Quil. Distrito Caraibas/Faz. de Galena/Indigenas Pedra de Sao Xucuru Joao Karir Agrop.,,
Riacho dos Machados,Carpathian Gold Com. Riacho dos Machados/margens do Sao Francisco/Min.,,
Sao Joaquim de Bicas,Complexo de Fazs. de Eike Batista,,700
Uberaba,Faz. Pao de Queijo/Acamp. 19 de Margo,,
Vazante,Faz. Veredinha/Acamp. José Beraldo,,
Subtotal:,40,,27317
Acara/ Tomé-Acgu,Com. Quil. Alto Acara/Biovale,,4300
Afua,Cajueiro/PAE Ilha dos Caras**,,1000
Alenquer,Fazenda Laguinho,,1615
Almeirim/ Monte Dourado,Projeto Jari Celulose/Jarcel,100,
Altamira/ Senador José Porfirio,T.I. Ituna/Itata,,142000
Ananindeua,Com. Quilombola do Abacatal,121,864
Anapu,Gl. Belo Monte/PDS Virola Jatoba/Dorothy,160,39385
Anapu,Gl. Bacaja/Lote 46/ Faz. Sta. Luzia,48,
Anapu,Gleba Bacaja/PDS Esperanga/Assassinato da Ir. Dorothy,178,
Anapu/ Senador José Porfirio/ Vitoria do Xingu,T. |. Paquigamba/Juruna/UHE Belo Monte/PAC,24,
Baiao,Resex Ipau/Anilzinho,100,
Bom Jesus do Tocantins,Fazenda Gaucha,300,
Bom Jesus do Tocantins,Faz. Goiana/Aras Sta. Elias,200,4356
Bom Jesus do Tocantins,Fazenda Mococa,,968
Breu Branco,Fazenda Chama/Acampamento Irma Dorothy,31,1219
Cachoeira do Arari,Com. Quil. de Gurupa,200,12852
Canaa dos Carajas,Acamp. Carajas/Vale/Projeto Serra Dourada/Complexo S11D Sao Luis/P. A.,300,
