uf,municipio,nome_conflito,familias,area
Bahia,Campo Formoso,Comunidade Tanque Novo,,
Bahia,Campo Formoso,Com. Alagadiço de Borda da Mata,,
Bahia,Campo Formoso,Comunidade Alvaçã,,
Bahia,Casa Nova,Com. de Areia Grande/Salininha/Riacho Grande/Salina da Brinca/Jurema/Melancia/Salininh a,1000,491000
Bahia,Casa Nova,Riacho Grande/Ladeira Grande,,
Bahia,Casa Nova,Perímetro Irrigado Senador  Nilo Coelho/Acamp. Irani de Souza,175,2500
Bahia,Casa Nova,Perímetro Irrigado Senador  Nilo Coelho/Acamp. Irmã Dorothy,60,
Bahia,Casa Nova,Comunidade de Cacimbas,23,4000
Bahia,Cordeiros,Comunidade Renegada,34,200
Bahia,Correntina,Comunidade Catolés,500,
Bahia,Correntina,Fecho de Pasto Capão do Modesto,50,8000
Bahia,Correntina,Comunidade Brejo Verde,200,14000
Bahia,Eunápolis,Fazenda Primavera,60,
Bahia,Eunápolis/ Belmonte,Faz. Mutum Conjunto Cedro/Sítio Esperança,10,
Bahia,Feira de Santana,Faz. Areias/Acamp. Cajueiro,30,
Bahia,Formosa do Rio Preto,Com. Cachoeira/Condomínio Estrondo,7,50000
Bahia,Formosa do Rio Preto,Com. Cacimbinha/Arroz/Condomínio Estrondo,22,
Bahia,Formosa do Rio Preto,Com. Baixa Funda/Condomínio Estrondo,10,
Bahia,Formosa do Rio Preto,Com. Gatos/Condomínio Estrondo,4,
Bahia,Formosa do Rio Preto,Com. Aldeia/Mutamba/Condomínio Estrondo,25,
Bahia,Formosa do Rio Preto,Com. Brejo do Tatu/Condomínio Estrondo,12,
Bahia,Formosa do Rio Preto,Com. Marinheiro/Condomínio Estrondo,4,
Bahia,Gentio do Ouro,Com. Descanso/Mato do Meio/Retiro/Sacatruz/São Gonçalo/Gentio das Chagas/Silvério,35,19000
Bahia,Ilhéus,Morada dos Pássaros/Região do Parque de Olivença,15,20
Bahia,Ilhéus/ Una/ Buerarema,Serra do Padeiro/Povo Tupinambá,130,
Bahia,Iramaia,Fazenda Iracema,150,2243
Bahia,Itaberaba/ Ruy Barbosa,Faz. Santa Maria/Acamp. Olga Benário,120,1792
Bahia,Itabuna/ Pau Brasil/ Itambé/ Itapetinga/ Itaju do Colônia/ Canavieiras,T. I. Caramuru Catarina Paraguassu,700,54000
Bahia,,,30,643
Bahia,,Pilões,15,780
Bahia,Juazeiro,Área do Projeto de Irrigação Salitre/Acamp. Abril Vermelho,462,3000
Bahia,Juazeiro,Faz. Mariad I/Mariat/Projeto Curaçá/Acamp. Palmares,56,203
Bahia,Lajedinho,Assentamento Santo Antônio e São José,20,1456
Bahia,Lauro de Freitas,Com. Quilombola Quingoma,578,1284
Bahia,Maragogipe,Com. Quilombola Baixão do Guaí,50,
Bahia,Maragogipe,Com. Quilombola Guerém,33,
Bahia,Maragogipe,Com. Quilombola Tabatinga,30,
Bahia,Maragogipe,Com. Quilombola Girau Grande,30,
Bahia,Maragogipe,Com. Quilombola Guaruçu/Guraçu,33,
Bahia,Maragogipe,Com. Quilombola Porto de Pedra,30,
Bahia,Maragogipe,Com. Quilombola Quinzanga/Quizanga,30,
Bahia,Mirangaba,Com. Paranazinho/Fundo de Pasto da COMTRAFP,200,700
Bahia,Mirangaba,Com. Riacho/Fundo de Pasto da COMTRAFP,50,500
Bahia,Mirangaba,Com. Umbiguda/Fundo de Pasto da COMTRAFP,90,700
Bahia,Mirangaba,Com. Mangabeira/Fundo de Pasto da COMTRAFP,100,700
Bahia,Muquém de São Francisco,Com. Quilombola Fazenda Grande,180,2500
Bahia,Nilo Peçanha,Barra dos Carvalhos,,
Bahia,Nordestina,Com. Quilombola Lagoa da Cruz/Lipari Mineração,50,
Bahia,Nordestina,Com. Quilombola Palha/Lipari Mineração,65,
Bahia,Nordestina,Com. Quilombola Poças/Lipari Mineração,30,
Bahia,Nordestina,Com. Quilombola Lagoa das Salinas/Lipari Mineração,85,
Bahia,Nordestina,Com. Quilombola Caldeirão do Sangue/Lipari Mineração,51,
Bahia,Nordestina,Com. Quilombola Caldeirão dos Padres/Lipari Mineração,11,
Bahia,Nordestina,Com. Quilombola Lagoa dos Bois/Lipari Mineração,55,
Bahia,Nordestina,Com. Quilombola Bom Sucesso/Lipari Mineração,15,
Bahia,Nordestina,Com. Quilombola Tanque Bonito/Lipari Mineração,11,
